Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 27 Aug 1932 (34),Walsall FC (1),1-0,?,Hull City AFC (1)
?,(Sat) 27 Aug 1932 (34),Wrexham AFC (1),3-0,?,Barnsley FC (1)
?,(Sat) 27 Aug 1932 (34),Rochdale AFC (1),0-1,?,Carlisle United FC (1)
?,(Sat) 27 Aug 1932 (34),Gateshead FC (1),4-0,?,Doncaster Rovers FC (1)
?,(Sat) 27 Aug 1932 (34),Stockport County FC (1),5-1,?,Darlington FC (1)
?,(Sat) 27 Aug 1932 (34),Rotherham United FC (1),1-0,?,New Brighton Tower FC (1898-1901) (1)
?,(Sat) 27 Aug 1932 (34),Crewe Alexandra FC (1),1-0,?,York City FC (1)
?,(Sat) 27 Aug 1932 (34),Mansfield Town FC (1),1-0,?,Chester FC (1)
?,(Sat) 27 Aug 1932 (34),Accrington Stanley FC (1),4-1,?,FC Halifax Town (1)
?,(Sat) 27 Aug 1932 (34),Tranmere Rovers FC (1),3-3,?,Hartlepool United FC (1)
?,(Sat) 27 Aug 1932 (34),Southport FC (1),3-0,?,Barrow AFC (1)
?,(Mon) 29 Aug 1932 (35),Barnsley FC (2),2-1,?,Tranmere Rovers FC (2)
?,(Mon) 29 Aug 1932 (35),Barrow AFC (2),1-1,?,Rochdale AFC (2)
?,(Mon) 29 Aug 1932 (35),Hull City AFC (2),4-1,?,Wrexham AFC (2)
?,(Mon) 29 Aug 1932 (35),Accrington Stanley FC (2),5-1,?,Rotherham United FC (2)
?,(Mon) 29 Aug 1932 (35),Doncaster Rovers FC (2),3-2,?,Walsall FC (2)
?,(Wed) 31 Aug 1932 (35),New Brighton Tower FC (1898-1901) (2),1-0,?,Mansfield Town FC (2)
?,(Wed) 31 Aug 1932 (35),Chester FC (2),1-1,?,Southport FC (2)
?,(Wed) 31 Aug 1932 (35),FC Halifax Town (2),4-0,?,Hartlepool United FC (2)
?,(Wed) 31 Aug 1932 (35),York City FC (2),2-2,?,Stockport County FC (2)
?,(Wed) 31 Aug 1932 (35),Darlington FC (2),1-3,?,Gateshead FC (2)
?,(Thu) 1 Sep 1932 (35),Carlisle United FC (2),2-0,?,Crewe Alexandra FC (2)
?,(Sat) 3 Sep 1932 (35),Doncaster Rovers FC (3),1-1,?,Stockport County FC (3)
