Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 23 Apr 1938 (16),Accrington Stanley (1),2-0,?,Barrow AFC (1)
?,(Sat) 25 Sep 1937 (38),Accrington Stanley (2),3-1,?,Bradford City (1)
?,(Sat) 28 Aug 1937 (34),Accrington Stanley (3),1-4,?,Carlisle United (1)
?,(Tue) 28 Sep 1937 (39),Accrington Stanley (4),0-0,?,Chester FC (1)
?,(Sat) 4 Dec 1937 (48),Accrington Stanley (5),3-2,?,Crewe Alexandra (1)
?,(Sat) 20 Nov 1937 (46),Accrington Stanley (6),2-1,?,Darlington FC (1)
?,(Sat) 9 Oct 1937 (40),Accrington Stanley (7),0-1,?,Doncaster Rovers (1)
?,(Sat) 6 Nov 1937 (44),Accrington Stanley (8),1-5,?,Gateshead FC (1)
?,(Sat) 15 Jan 1938 (2),Accrington Stanley (9),3-4,?,Halifax Town (1)
?,(Mon) 6 Sep 1937 (36),Accrington Stanley (10),2-1,?,Hartlepool United (1)
?,(Sat) 23 Oct 1937 (42),Accrington Stanley (11),0-2,?,Hull City (1)
?,(Sat) 26 Feb 1938 (8),Accrington Stanley (12),0-3,?,Lincoln City (1)
?,(Sat) 12 Mar 1938 (10),Accrington Stanley (13),3-1,?,New Brighton (1)
?,(Sat) 26 Mar 1938 (12),Accrington Stanley (14),1-2,?,Oldham Athletic (1)
?,(Sat) 9 Apr 1938 (14),Accrington Stanley (15),2-1,?,Port Vale FC (1)
?,(Mon) 27 Dec 1937 (52),Accrington Stanley (16),0-1,?,Rochdale AFC (1)
?,(Fri) 15 Apr 1938 (15),Accrington Stanley (17),0-0,?,Rotherham United (1)
?,(Sat) 12 Feb 1938 (6),Accrington Stanley (18),3-0,?,Southport FC (1)
?,(Sat) 11 Sep 1937 (36),Accrington Stanley (19),0-1,?,Tranmere Rovers (1)
?,(Mon) 3 Jan 1938 (1),Accrington Stanley (20),4-0,?,Wrexham AFC (1)
?,(Sat) 29 Jan 1938 (4),Accrington Stanley (21),1-2,?,York City (1)
?,(Mon) 25 Apr 1938 (17),Barrow AFC (2),0-0,?,Accrington Stanley (22)
?,(Sat) 19 Mar 1938 (11),Barrow AFC (3),0-0,?,Bradford City (2)
?,(Sat) 16 Apr 1938 (15),Barrow AFC (4),4-2,?,Carlisle United (2)
?,(Sat) 30 Apr 1938 (17),Barrow AFC (5),0-2,?,Chester FC (2)
?,(Sat) 2 Oct 1937 (39),Barrow AFC (6),1-0,?,Crewe Alexandra (2)
?,(Sat) 18 Sep 1937 (37),Barrow AFC (7),1-1,?,Darlington FC (2)
?,(Sat) 5 Mar 1938 (9),Barrow AFC (8),1-1,?,Doncaster Rovers (2)
?,(Sat) 4 Sep 1937 (35),Barrow AFC (9),1-3,?,Gateshead FC (2)
?,(Sat) 8 Jan 1938 (1),Barrow AFC (10),2-1,?,Halifax Town (2)
?,(Mon) 18 Apr 1938 (16),Barrow AFC (11),0-0,?,Hartlepool United (2)
?,(Mon) 30 Aug 1937 (35),Barrow AFC (12),1-0,?,Hull City (2)
?,(Sat) 7 May 1938 (18),Barrow AFC (13),4-1,?,Lincoln City (2)
?,(Sat) 1 Jan 1938 (0),Barrow AFC (14),3-0,?,New Brighton (2)
?,(Sat) 22 Jan 1938 (3),Barrow AFC (15),2-1,?,Oldham Athletic (2)
?,(Sat) 5 Feb 1938 (5),Barrow AFC (16),3-0,?,Port Vale FC (2)
?,(Sat) 16 Oct 1937 (41),Barrow AFC (17),0-1,?,Rochdale AFC (2)
?,(Sat) 19 Feb 1938 (7),Barrow AFC (18),1-0,?,Rotherham United (2)
?,(Sat) 30 Oct 1937 (43),Barrow AFC (19),1-2,?,Southport FC (2)
?,(Sat) 2 Apr 1938 (13),Barrow AFC (20),2-2,?,Tranmere Rovers (2)
?,(Sat) 25 Dec 1937 (51),Barrow AFC (21),0-1,?,Wrexham AFC (2)
?,(Sat) 13 Nov 1937 (45),Barrow AFC (22),1-2,?,York City (2)
?,(Sat) 5 Feb 1938 (5),Bradford City (3),2-2,?,Accrington Stanley (23)
?,(Sat) 6 Nov 1937 (44),Bradford City (4),1-0,?,Barrow AFC (23)
?,(Sat) 2 Oct 1937 (39),Bradford City (5),4-0,?,Carlisle United (3)
?,(Sat) 18 Sep 1937 (37),Bradford City (6),2-2,?,Chester FC (3)
?,(Sat) 12 Mar 1938 (10),Bradford City (7),3-1,?,Crewe Alexandra (3)
?,(Sat) 26 Feb 1938 (8),Bradford City (8),2-1,?,Darlington FC (3)
?,(Sat) 1 Jan 1938 (0),Bradford City (9),2-0,?,Doncaster Rovers (3)
?,(Mon) 25 Apr 1938 (17),Bradford City (10),1-1,?,Gateshead FC (3)
?,(Sat) 19 Feb 1938 (7),Bradford City (11),3-0,?,Halifax Town (3)
?,(Sat) 20 Nov 1937 (46),Bradford City (12),4-1,?,Hartlepool United (3)
?,(Sat) 4 Dec 1937 (48),Bradford City (13),1-2,?,Hull City (3)
?,(Sat) 9 Apr 1938 (14),Bradford City (14),2-0,?,Lincoln City (3)
?,(Sat) 23 Apr 1938 (16),Bradford City (15),3-0,?,New Brighton (3)
?,(Wed) 15 Sep 1937 (37),Bradford City (16),1-1,?,Oldham Athletic (3)
?,(Sat) 23 Oct 1937 (42),Bradford City (17),5-0,?,Port Vale FC (3)
?,(Sat) 4 Sep 1937 (35),Bradford City (18),3-1,?,Rochdale AFC (3)
?,(Sat) 22 Jan 1938 (3),Bradford City (19),3-2,?,Rotherham United (3)
?,(Wed) 1 Sep 1937 (35),Bradford City (20),1-1,?,Southport FC (3)
?,(Sat) 25 Dec 1937 (51),Bradford City (21),1-3,?,Tranmere Rovers (3)
?,(Sat) 26 Mar 1938 (12),Bradford City (22),2-2,?,Wrexham AFC (3)
?,(Tue) 19 Apr 1938 (16),Bradford City (23),0-1,?,York City (3)
?,(Sat) 1 Jan 1938 (0),Carlisle United (4),3-1,?,Accrington Stanley (24)
?,(Sat) 4 Dec 1937 (48),Carlisle United (5),2-1,?,Barrow AFC (24)
?,(Sat) 12 Feb 1938 (6),Carlisle United (6),2-0,?,Bradford City (24)
?,(Wed) 1 Sep 1937 (35),Carlisle United (7),1-3,?,Chester FC (4)
?,(Sat) 8 Jan 1938 (1),Carlisle United (8),5-1,?,Crewe Alexandra (4)
?,(Sat) 26 Mar 1938 (12),Carlisle United (9),3-0,?,Darlington FC (4)
?,(Sat) 25 Dec 1937 (51),Carlisle United (10),2-2,?,Doncaster Rovers (4)
?,(Sat) 12 Mar 1938 (10),Carlisle United (11),1-0,?,Gateshead FC (4)
?,(Sat) 11 Sep 1937 (36),Carlisle United (12),5-2,?,Halifax Town (4)
?,(Sat) 18 Dec 1937 (50),Carlisle United (13),3-1,?,Hartlepool United (4)
?,(Sat) 26 Feb 1938 (8),Carlisle United (14),0-1,?,Hull City (4)
?,(Sat) 4 Sep 1937 (35),Carlisle United (15),0-1,?,Lincoln City (4)
?,(Sat) 23 Oct 1937 (42),Carlisle United (16),1-1,?,New Brighton (4)
?,(Sat) 6 Nov 1937 (44),Carlisle United (17),1-1,?,Oldham Athletic (4)
?,(Sat) 20 Nov 1937 (46),Carlisle United (18),3-1,?,Port Vale FC (4)
?,(Mon) 18 Apr 1938 (16),Carlisle United (19),0-1,?,Rochdale AFC (4)
?,(Sat) 7 May 1938 (18),Carlisle United (20),0-1,?,Rotherham United (4)
?,(Sat) 9 Oct 1937 (40),Carlisle United (21),1-0,?,Southport FC (4)
?,(Sat) 29 Jan 1938 (4),Carlisle United (22),0-0,?,Tranmere Rovers (4)
?,(Sat) 23 Apr 1938 (16),Carlisle United (23),0-0,?,Wrexham AFC (4)
?,(Sat) 25 Sep 1937 (38),Carlisle United (24),2-1,?,York City (4)
?,(Sat) 7 May 1938 (18),Chester FC (5),3-1,?,Accrington Stanley (25)
?,(Sat) 18 Dec 1937 (50),Chester FC (6),3-1,?,Barrow AFC (25)
?,(Sat) 29 Jan 1938 (4),Chester FC (7),3-1,?,Bradford City (25)
?,(Wed) 8 Sep 1937 (36),Chester FC (8),1-0,?,Carlisle United (25)
?,(Sat) 23 Apr 1938 (16),Chester FC (9),0-3,?,Crewe Alexandra (5)
?,(Sat) 9 Apr 1938 (14),Chester FC (10),3-2,?,Darlington FC (5)
?,(Sat) 12 Feb 1938 (6),Chester FC (11),4-0,?,Doncaster Rovers (5)
?,(Sat) 26 Mar 1938 (12),Chester FC (12),2-1,?,Gateshead FC (5)
?,(Sat) 28 Aug 1937 (34),Chester FC (13),1-1,?,Halifax Town (5)
