Date,Team 1,Team 2,FT
-,Aston Villa,Arsenal,2-1
-,Blackpool,Arsenal,2-2
-,Bolton Wanderers,Arsenal,2-2
-,Burnley,Arsenal,3-0
-,Cardiff City,Arsenal,1-2
-,Charlton Athletic,Arsenal,1-1
-,Chelsea,Arsenal,1-1
-,Everton,Arsenal,1-0
-,Huddersfield Town,Arsenal,0-1
-,Leicester City,Arsenal,3-3
-,Manchester City,Arsenal,2-1
-,Manchester United,Arsenal,2-1
-,Newcastle United,Arsenal,5-1
-,Portsmouth,Arsenal,2-1
-,Preston North End,Arsenal,3-1
-,Sheffield United,Arsenal,1-1
-,Sheffield Wednesday,Arsenal,1-2
-,Sunderland,Arsenal,0-1
-,Tottenham Hotspur,Arsenal,0-1
-,West Bromwich Albion,Arsenal,3-1
-,Wolverhampton Wanderers,Arsenal,3-1
-,Arsenal,Aston Villa,2-0
-,Blackpool,Aston Villa,0-1
-,Bolton Wanderers,Aston Villa,3-3
-,Burnley,Aston Villa,2-0
-,Cardiff City,Aston Villa,0-1
-,Charlton Athletic,Aston Villa,6-1
-,Chelsea,Aston Villa,4-0
-,Everton,Aston Villa,0-1
-,Huddersfield Town,Aston Villa,1-2
-,Leicester City,Aston Villa,4-2
-,Manchester City,Aston Villa,2-4
-,Manchester United,Aston Villa,0-1
-,Newcastle United,Aston Villa,5-3
-,Portsmouth,Aston Villa,2-2
-,Preston North End,Aston Villa,0-3
-,Sheffield United,Aston Villa,1-3
-,Sheffield Wednesday,Aston Villa,6-3
-,Sunderland,Aston Villa,0-0
-,Tottenham Hotspur,Aston Villa,1-1
-,West Bromwich Albion,Aston Villa,2-3
-,Wolverhampton Wanderers,Aston Villa,1-0
-,Arsenal,Blackpool,3-0
-,Aston Villa,Blackpool,3-1
-,Bolton Wanderers,Blackpool,3-0
-,Burnley,Blackpool,0-1
-,Cardiff City,Blackpool,1-2
-,Charlton Athletic,Blackpool,3-3
-,Chelsea,Blackpool,0-0
-,Everton,Blackpool,0-1
