Round,Date,Team 1,Team 2,FT,HT
-,-,Blackpool,Aldershot,4-1,-
-,-,Bristol City,Aldershot,2-0,-
-,-,Bury,Aldershot,3-1,-
-,-,Chester,Aldershot,1-1,-
-,-,Colchester United,Aldershot,0-0,-
-,-,Crewe Alexandra,Aldershot,0-0,-
-,-,Darlington,Aldershot,1-1,-
-,-,Halifax Town,Aldershot,1-3,-
-,-,Hartlepool United,Aldershot,1-1,-
-,-,Hereford United,Aldershot,2-1,-
-,-,Hull City,Aldershot,2-2,-
-,-,Mansfield Town,Aldershot,4-1,-
-,-,Northampton Town,Aldershot,1-1,-
-,-,Peterborough United,Aldershot,0-0,-
-,-,Port Vale,Aldershot,2-1,-
-,-,Rochdale,Aldershot,3-1,-
-,-,Scunthorpe United,Aldershot,1-1,-
-,-,Stockport County,Aldershot,2-1,-
-,-,Swindon Town,Aldershot,2-0,-
-,-,Torquay United,Aldershot,4-2,-
-,-,Tranmere Rovers,Aldershot,1-1,-
-,-,Wimbledon,Aldershot,6-1,-
-,-,York City,Aldershot,4-0,-
-,-,Aldershot,Blackpool,2-1,-
-,-,Bristol City,Blackpool,0-0,-
-,-,Bury,Blackpool,4-1,-
-,-,Chester,Blackpool,1-2,-
-,-,Colchester United,Blackpool,4-1,-
-,-,Crewe Alexandra,Blackpool,3-1,-
-,-,Darlington,Blackpool,0-1,-
-,-,Halifax Town,Blackpool,2-0,-
-,-,Hartlepool United,Blackpool,2-1,-
-,-,Hereford United,Blackpool,0-0,-
-,-,Hull City,Blackpool,3-1,-
-,-,Mansfield Town,Blackpool,2-1,-
-,-,Northampton Town,Blackpool,2-1,-
-,-,Peterborough United,Blackpool,3-1,-
-,-,Port Vale,Blackpool,1-0,-
-,-,Rochdale,Blackpool,3-1,-
-,-,Scunthorpe United,Blackpool,4-3,-
-,-,Stockport County,Blackpool,3-0,-
-,-,Swindon Town,Blackpool,3-3,-
-,-,Torquay United,Blackpool,1-3,-
-,-,Tranmere Rovers,Blackpool,1-1,-
-,-,Wimbledon,Blackpool,5-0,-
-,-,York City,Blackpool,2-0,-
-,-,Aldershot,Bristol City,0-0,-
-,-,Blackpool,Bristol City,1-4,-
-,-,Bury,Bristol City,2-2,-
-,-,Chester,Bristol City,1-0,-
-,-,Colchester United,Bristol City,3-1,-
-,-,Crewe Alexandra,Bristol City,4-1,-
-,-,Darlington,Bristol City,2-2,-
-,-,Halifax Town,Bristol City,2-2,-
-,-,Hartlepool United,Bristol City,3-1,-
-,-,Hereford United,Bristol City,1-3,-
-,-,Hull City,Bristol City,1-0,-
-,-,Mansfield Town,Bristol City,1-1,-
-,-,Northampton Town,Bristol City,7-1,-
-,-,Peterborough United,Bristol City,3-0,-
-,-,Port Vale,Bristol City,1-1,-
-,-,Rochdale,Bristol City,1-0,-
-,-,Scunthorpe United,Bristol City,1-1,-
-,-,Stockport County,Bristol City,2-2,-
-,-,Swindon Town,Bristol City,2-0,-
-,-,Torquay United,Bristol City,0-2,-
-,-,Tranmere Rovers,Bristol City,2-2,-
-,-,Wimbledon,Bristol City,2-1,-
-,-,York City,Bristol City,3-0,-
-,-,Aldershot,Bury,1-1,-
-,-,Blackpool,Bury,1-1,-
-,-,Bristol City,Bury,2-1,-
-,-,Chester,Bury,0-1,-
-,-,Colchester United,Bury,2-1,-
-,-,Crewe Alexandra,Bury,3-3,-
-,-,Darlington,Bury,1-2,-
-,-,Halifax Town,Bury,1-0,-
-,-,Hartlepool United,Bury,0-1,-
-,-,Hereford United,Bury,0-2,-
-,-,Hull City,Bury,2-1,-
-,-,Mansfield Town,Bury,1-4,-
-,-,Northampton Town,Bury,0-3,-
-,-,Peterborough United,Bury,1-1,-
-,-,Port Vale,Bury,0-0,-
-,-,Rochdale,Bury,0-0,-
-,-,Scunthorpe United,Bury,0-1,-
-,-,Stockport County,Bury,2-1,-
-,-,Swindon Town,Bury,1-1,-
-,-,Torquay United,Bury,2-3,-
-,-,Tranmere Rovers,Bury,1-1,-
-,-,Wimbledon,Bury,2-1,-
-,-,York City,Bury,3-1,-
-,-,Aldershot,Chester,1-2,-
-,-,Blackpool,Chester,1-1,-
-,-,Bristol City,Chester,0-0,-
-,-,Bury,Chester,3-2,-
-,-,Colchester United,Chester,1-0,-
-,-,Crewe Alexandra,Chester,3-2,-
-,-,Darlington,Chester,0-2,-
-,-,Halifax Town,Chester,0-0,-
-,-,Hartlepool United,Chester,1-0,-
-,-,Hereford United,Chester,5-2,-
-,-,Hull City,Chester,2-0,-
-,-,Mansfield Town,Chester,2-1,-
-,-,Northampton Town,Chester,1-1,-
-,-,Peterborough United,Chester,0-1,-
-,-,Port Vale,Chester,2-1,-
-,-,Rochdale,Chester,0-1,-
-,-,Scunthorpe United,Chester,2-0,-
-,-,Stockport County,Chester,3-3,-
-,-,Swindon Town,Chester,2-3,-
-,-,Torquay United,Chester,0-1,-
-,-,Tranmere Rovers,Chester,2-4,-
-,-,Wimbledon,Chester,4-0,-
-,-,York City,Chester,1-0,-
-,-,Aldershot,Colchester United,0-1,-
-,-,Blackpool,Colchester United,1-2,-
-,-,Bristol City,Colchester United,0-2,-
-,-,Bury,Colchester United,1-0,-
-,-,Chester,Colchester United,1-1,-
-,-,Crewe Alexandra,Colchester United,0-1,-
-,-,Darlington,Colchester United,1-3,-
-,-,Halifax Town,Colchester United,4-0,-
-,-,Hartlepool United,Colchester United,1-4,-
-,-,Hereford United,Colchester United,0-0,-
-,-,Hull City,Colchester United,3-0,-
-,-,Mansfield Town,Colchester United,1-1,-
-,-,Northampton Town,Colchester United,2-1,-
-,-,Peterborough United,Colchester United,2-1,-
-,-,Port Vale,Colchester United,0-0,-
-,-,Rochdale,Colchester United,2-1,-
-,-,Scunthorpe United,Colchester United,2-1,-
-,-,Stockport County,Colchester United,3-0,-
-,-,Swindon Town,Colchester United,3-0,-
-,-,Torquay United,Colchester United,2-0,-
-,-,Tranmere Rovers,Colchester United,2-4,-
-,-,Wimbledon,Colchester United,2-1,-
-,-,York City,Colchester United,3-0,-
-,-,Aldershot,Crewe Alexandra,2-1,-
-,-,Blackpool,Crewe Alexandra,2-0,-
-,-,Bristol City,Crewe Alexandra,2-1,-
-,-,Bury,Crewe Alexandra,0-1,-
-,-,Chester,Crewe Alexandra,1-0,-
-,-,Colchester United,Crewe Alexandra,4-3,-
-,-,Darlington,Crewe Alexandra,1-1,-
-,-,Halifax Town,Crewe Alexandra,0-3,-
-,-,Hartlepool United,Crewe Alexandra,1-0,-
-,-,Hereford United,Crewe Alexandra,1-0,-
-,-,Hull City,Crewe Alexandra,1-0,-
-,-,Mansfield Town,Crewe Alexandra,1-0,-
-,-,Northampton Town,Crewe Alexandra,4-0,-
-,-,Peterborough United,Crewe Alexandra,2-1,-
-,-,Port Vale,Crewe Alexandra,1-1,-
-,-,Rochdale,Crewe Alexandra,2-0,-
-,-,Scunthorpe United,Crewe Alexandra,2-0,-
-,-,Stockport County,Crewe Alexandra,3-2,-
-,-,Swindon Town,Crewe Alexandra,1-0,-
-,-,Torquay United,Crewe Alexandra,2-1,-
-,-,Tranmere Rovers,Crewe Alexandra,1-1,-
-,-,Wimbledon,Crewe Alexandra,3-2,-
-,-,York City,Crewe Alexandra,2-0,-
-,-,Aldershot,Darlington,1-6,-
-,-,Blackpool,Darlington,2-0,-
-,-,Bristol City,Darlington,2-2,-
-,-,Bury,Darlington,3-0,-
-,-,Chester,Darlington,2-3,-
-,-,Colchester United,Darlington,2-2,-
-,-,Crewe Alexandra,Darlington,2-5,-
-,-,Halifax Town,Darlington,2-0,-
-,-,Hartlepool United,Darlington,2-0,-
-,-,Hereford United,Darlington,0-0,-
-,-,Hull City,Darlington,0-0,-
-,-,Mansfield Town,Darlington,0-2,-
-,-,Northampton Town,Darlington,3-3,-
-,-,Peterborough United,Darlington,1-1,-
-,-,Port Vale,Darlington,2-1,-
-,-,Rochdale,Darlington,1-1,-
-,-,Scunthorpe United,Darlington,2-2,-
-,-,Stockport County,Darlington,2-1,-
-,-,Swindon Town,Darlington,1-2,-
-,-,Torquay United,Darlington,1-0,-
-,-,Tranmere Rovers,Darlington,2-0,-
-,-,Wimbledon,Darlington,3-1,-
-,-,York City,Darlington,5-2,-
-,-,Aldershot,Halifax Town,6-1,-
-,-,Blackpool,Halifax Town,0-0,-
-,-,Bristol City,Halifax Town,3-0,-
